# this file is a copy of the TLS one, with small modifications made by looking at SSL3-related RFCs and documents
Value,Description,,Reference
"0x00,0x40",SSL_DHE_DSS_WITH_AES_128_CBC_SHA256,Y,[RFC5246]
"0x00,0x41",SSL_RSA_WITH_CAMELLIA_128_CBC_SHA,Y,[RFC5932]
"0x00,0x42",SSL_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,Y,[RFC5932]
"0x00,0x43",SSL_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,Y,[RFC5932]
"0x00,0x44",SSL_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,Y,[RFC5932]
"0x00,0x45",SSL_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,Y,[RFC5932]
"0x00,0x46",SSL_DH_anon_WITH_CAMELLIA_128_CBC_SHA,Y,[RFC5932]
"0x00,0x47-4F","Reserved to avoid conflicts with         
deployed implementations",,
"0x00,0x50-58",Reserved to avoid conflicts,,
"0x00,0x59-5C","Reserved to avoid conflicts with    
deployed implementations",,
"0x00,0x5D-5F",Unassigned,,
"0x00,0x60-66","Reserved to avoid conflicts with
widely deployed implementations",,
"0x00,0x67",SSL_DHE_RSA_WITH_AES_128_CBC_SHA256,Y,[RFC5246]
"0x00,0x68",SSL_DH_DSS_WITH_AES_256_CBC_SHA256,Y,[RFC5246]
"0x00,0x69",SSL_DH_RSA_WITH_AES_256_CBC_SHA256,Y,[RFC5246]
"0x00,0x6A",SSL_DHE_DSS_WITH_AES_256_CBC_SHA256,Y,[RFC5246]
"0x00,0x6B",SSL_DHE_RSA_WITH_AES_256_CBC_SHA256,Y,[RFC5246]
"0x00,0x6C",SSL_DH_anon_WITH_AES_128_CBC_SHA256,Y,[RFC5246]
"0x00,0x6D",SSL_DH_anon_WITH_AES_256_CBC_SHA256,Y,[RFC5246]
"0x00,0x6E-83",Unassigned,,
"0x00,0x84",SSL_RSA_WITH_CAMELLIA_256_CBC_SHA,Y,[RFC5932]
"0x00,0x85",SSL_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,Y,[RFC5932]
"0x00,0x86",SSL_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,Y,[RFC5932]
"0x00,0x87",SSL_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,Y,[RFC5932]
"0x00,0x88",SSL_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,Y,[RFC5932]
"0x00,0x89",SSL_DH_anon_WITH_CAMELLIA_256_CBC_SHA,Y,[RFC5932]
"0x00,0x8A",SSL_PSK_WITH_RC4_128_SHA,N,[RFC4279][RFC6347]
"0x00,0x8B",SSL_PSK_WITH_3DES_EDE_CBC_SHA,Y,[RFC4279]
"0x00,0x8C",SSL_PSK_WITH_AES_128_CBC_SHA,Y,[RFC4279]
"0x00,0x8D",SSL_PSK_WITH_AES_256_CBC_SHA,Y,[RFC4279]
"0x00,0x8E",SSL_DHE_PSK_WITH_RC4_128_SHA,N,[RFC4279][RFC6347]
"0x00,0x8F",SSL_DHE_PSK_WITH_3DES_EDE_CBC_SHA,Y,[RFC4279]
"0x00,0x90",SSL_DHE_PSK_WITH_AES_128_CBC_SHA,Y,[RFC4279]
"0x00,0x91",SSL_DHE_PSK_WITH_AES_256_CBC_SHA,Y,[RFC4279]
"0x00,0x92",SSL_RSA_PSK_WITH_RC4_128_SHA,N,[RFC4279][RFC6347]
"0x00,0x93",SSL_RSA_PSK_WITH_3DES_EDE_CBC_SHA,Y,[RFC4279]
"0x00,0x94",SSL_RSA_PSK_WITH_AES_128_CBC_SHA,Y,[RFC4279]
"0x00,0x95",SSL_RSA_PSK_WITH_AES_256_CBC_SHA,Y,[RFC4279]
"0x00,0x96",SSL_RSA_WITH_SEED_CBC_SHA,Y,[RFC4162]
"0x00,0x97",SSL_DH_DSS_WITH_SEED_CBC_SHA,Y,[RFC4162]
"0x00,0x98",SSL_DH_RSA_WITH_SEED_CBC_SHA,Y,[RFC4162]
"0x00,0x99",SSL_DHE_DSS_WITH_SEED_CBC_SHA,Y,[RFC4162]
